Course,GPA,Year
PHYS 2699,4.00 ,2013
PTFE 4801,3.49 ,2008
PTFE 4801,3.61 ,2009
PTFE 4801,3.98 ,2010
PTFE 4801,4.00 ,2011
ECE 4699,3.80 ,2008
ECE 4699,3.88 ,2009
ECE 4699,4.00 ,2010
ECE 4699,4.00 ,2011
ECE 4699,3.89 ,2012
ECE 4699,4.00 ,2013
ARBC 2823,3.50 ,2010
ARBC 2823,3.64 ,2012
ARBC 2823,3.29 ,2013
PUBP 3110,3.27 ,2008
PUBP 3110,3.16 ,2009
BIOL 2801,3.20 ,2008
BIOL 2801,4.00 ,2010
BIOL 2801,4.00 ,2011
BIOL 2801,4.00 ,2012
BIOL 2801,4.00 ,2013
MUSI 4601,4.00 ,2008
MUSI 4601,4.00 ,2009
MUSI 4601,4.00 ,2010
MUSI 4601,3.89 ,2011
MUSI 4601,4.00 ,2012
MGT 3599,3.57 ,2011
MGT 3599,3.65 ,2012
MGT 3599,3.55 ,2013
MUSI 4602,4.00 ,2008
MUSI 4602,4.00 ,2009
MUSI 4602,4.00 ,2010
MUSI 4602,4.00 ,2011
MUSI 4602,4.00 ,2012
MUSI 4602,4.00 ,2013
MATH 4441,3.13 ,2009
MATH 4441,3.63 ,2011
MATH 4441,3.50 ,2012
CEE 1770,3.31 ,2008
CEE 1770,3.43 ,2009
CEE 1770,3.59 ,2010
CEE 1770,3.60 ,2011
CEE 1770,3.60 ,2012
CEE 1770,3.72 ,2013
ID 3301,2.50 ,2008
ID 3301,3.55 ,2009
ID 3301,3.10 ,2010
ID 3301,3.57 ,2011
ID 3301,3.24 ,2012
ID 3301,3.07 ,2013
ID 3302,3.00 ,2008
ID 3302,3.22 ,2009
ID 3302,2.70 ,2010
ID 3302,2.43 ,2011
ID 3302,2.77 ,2012
EAS 4803,3.41 ,2008
EAS 4803,2.96 ,2009
EAS 4803,3.65 ,2010
EAS 4803,3.08 ,2011
EAS 4803,3.71 ,2012
EAS 4803,3.58 ,2013
EAS 4802,3.00 ,2009
EAS 4802,4.00 ,2010
EAS 4801,4.00 ,2008
EAS 4801,3.63 ,2009
EAS 4801,4.00 ,2010
EAS 4801,3.83 ,2011
EAS 4801,3.62 ,2012
EAS 4801,4.00 ,2013
ECE 4761,3.67 ,2008
ECE 4761,3.25 ,2009
ECE 4761,4.00 ,2010
ECE 4761,4.00 ,2011
ECE 4761,3.50 ,2012
ECE 4761,3.67 ,2013
LCC 3304,3.69 ,2008
LCC 3304,3.85 ,2009
LCC 3304,3.44 ,2010
LCC 3304,3.76 ,2011
LCC 3304,3.74 ,2012
LCC 3304,3.84 ,2013
LCC 3306,3.00 ,2009
LCC 3306,3.28 ,2012
