course,semester,year,A,B,C,D,F,W,GPA
CS 1332,Spring,2009,27.66666667,15.66666667,14,7,15,20,2.426666667
CS 1332,Spring,2010,30.66666667,19.33333333,24.66666667,7.333333333,10,8.333333333,2.6
CS 1332,Spring,2011,36.25,31.75,14.75,6.75,3.75,6.75,2.9725
CS 1332,Spring,2012,43.25,22,15.5,5.5,4.5,9,3.02
CS 1332,Spring,2013,26.6,25.2,20.2,12,9.6,6.4,2.508
CS 1332,Summer,2009,37,29,17,3,6,9,2.97
CS 1332,Summer,2010,43,27,4.5,1,4.5,19.5,3.33
CS 1332,Summer,2011,22,33,16,13.5,5.5,9.5,2.585
CS 1332,Summer,2012,54.5,32.5,6,1,6,0,3.29
CS 1332,Summer,2013,35.33333333,15,16,13.33333333,4,16.33333333,2.77
CS 4455,Fall,2008,86,5,5,0,0,5,3.86
CS 4455,Fall,2009,37,33,15,7,0,7,3.08
CS 4455,Fall,2010,80,18,2,0,0,0,3.78
CS 4455,Fall,2011,79,17,2,0,0,2,3.79
CS 4455,Fall,2012,68,18,3,0,0,11,3.74
CS 4455,Spring,2008,48,29,14,0,0,10,3.37
CS 4455,Spring,2009,57,27,11,0,5,0,3.3
CS 4455,Spring,2010,79,18,0,0,3,0,3.7
CS 4455,Spring,2012,67,27,7,0,0,0,3.6
CS 4455,Summer,2008,72,17,0,0,0,6,3.81
CS 4455,Summer,2009,83,17,0,0,0,0,3.83
CS 4455,Summer,2010,63,38,0,0,0,0,3.63
CS 4455,Summer,2011,75,21,4,0,0,0,3.71
CS 4455,Summer,2012,67,33,0,0,0,0,3.67
CS 4455,Summer,2013,80,7,0,0,0,13,3.92
CS 2804,Fall,2012,81,11,1.5,0,0,5.5,3.86
CS 2804,Spring,2013,53,16,5,0,5,5,3.4
CS 2804,Summer,2012,77.5,10,0,0,0,12.5,3.9
CS 2803,Summer,2011,48,20,16,0,12,4,2.96
CS 2803,Summer,2012,71,19,5,0,5,0,3.52
CS 2803,Summer,2013,88,6,0,0,0,0,3.93
CS 4365,Spring,2008,75,0,0,0,0,13,4
CS 4365,Spring,2009,93,0,0,0,0,7,4
CS 4365,Spring,2010,85,5,0,0,0,0,3.94
CS 4365,Spring,2011,88,4,4,0,4,0,3.73
CS 4365,Spring,2012,46,15,8,8,0,23,3.3
CS 4365,Spring,2013,54,15,0,0,0,15,3.78
CS 2801,Fall,2009,76,19,0,0,0,5,3.79
CS 2801,Fall,2010,48,22,15.75,0,0,14.5,3.455
CS 2801,Fall,2011,76,8,8,0,0,8,3.74
CS 2801,Fall,2012,89,0,0,0,0,11,4
CS 2801,Spring,2010,50,46,4.333333333,0,0,0,3.46
CS 2801,Spring,2011,82.25,14,1.25,0,0,2.25,3.8275
CS 2801,Spring,2012,89,11,0,0,0,0,3.89
CS 2801,Spring,2013,95,0,0,0,0,5,4
CS 2801,Summer,2011,71,14,0,0,14,0,3.29
CS 2801,Summer,2012,100,0,0,0,0,0,4
CS 4220,Fall,2008,100,0,0,0,0,0,4
CS 4220,Fall,2009,0,50,0,0,0,0,3
CS 4220,Fall,2010,40,0,0,0,40,20,2
CS 4220,Fall,2011,75,0,0,0,0,25,4
CS 4220,Fall,2012,33,0,0,0,67,0,1.33
CS 4731,Fall,2008,33,56,0,11,0,0,3.11
CS 4731,Spring,2010,67,22,0,0,0,0,3.75
CS 4731,Spring,2011,44,22,22,0,11,0,2.89
CS 4731,Spring,2012,41,41,6,6,0,6,3.25
CS 4731,Spring,2013,43,18,14,7,11,7,2.81
CS 4731,Summer,2012,30,20,20,0,0,30,3.14
CS 4731,Summer,2013,88,0,0,0,0,13,4
CS 4225,Spring,2009,58,0,0,0,8,33,3.5
CS 4225,Spring,2010,52,29,5,0,0,14,3.56
CS 4225,Spring,2011,33,33,22,0,0,11,3.13
CS 4225,Spring,2012,53,12,6,0,0,29,3.67
CS 4225,Spring,2013,31,19,13,13,0,25,2.92
CS 2200,Fall,2008,23,23,21,8,9,16,2.49
CS 2200,Fall,2009,20,18,39,3,6,14,2.51
CS 2200,Fall,2010,27,25,15,10,5,18,2.74
CS 2200,Fall,2011,32,37,20,4,4,4,2.92
CS 2200,Fall,2012,27,23,35,6,4,5,2.67
CS 2200,Spring,2008,41,23,16,8,0,13,3.11
CS 2200,Spring,2009,31.5,26.5,21.5,6,4,10.5,2.845
CS 2200,Spring,2010,29,32,18,1,6,13,2.89
CS 2200,Spring,2011,33,26.5,17.5,8,4,10,2.85
CS 2200,Spring,2012,38,29,20,5,2,5,3.01
CS 2200,Spring,2013,28,37,17,5,6,7,2.82
CS 2200,Summer,2008,16,26,35,10,0,13,2.56
CS 2200,Summer,2009,26,29,19,10,0,16,2.85
CS 2200,Summer,2010,13,26,29,10,6,16,2.35
CS 2200,Summer,2011,30,25,23,5,3,15,2.88
CS 2200,Summer,2012,25,36,21,4,4,11,2.84
CS 2200,Summer,2013,42,11,20,7,9,11,2.8
CS 3743,Fall,2012,100,0,0,0,0,0,4
CS 4649,Fall,2011,57,29,0,0,0,14,3.67
CS 4649,Fall,2012,50,38,13,0,0,0,3.38
CS 2699,Fall,2008,50,50,0,0,0,0,3.5
CS 2699,Fall,2009,100,0,0,0,0,0,4
CS 2699,Fall,2010,75,0,25,0,0,0,3.5
CS 2699,Fall,2011,75,25,0,0,0,0,3.75
CS 2699,Fall,2012,66.66666667,33.33333333,0,0,0,0,3.666666667
CS 2699,Spring,2008,50,0,50,0,0,0,3
CS 2699,Spring,2009,91.75,0,8.25,0,0,0,3.8325
CS 2699,Spring,2010,87.5,12.5,0,0,0,0,3.875
CS 2699,Spring,2011,90,10,0,0,0,0,3.9
CS 2699,Spring,2012,100,0,0,0,0,0,4
CS 2699,Spring,2013,100,0,0,0,0,0,4
CS 2699,Summer,2008,0,100,0,0,0,0,3
CS 2699,Summer,2009,100,0,0,0,0,0,4
CS 2699,Summer,2010,80,20,0,0,0,0,3.8
CS 2699,Summer,2011,100,0,0,0,0,0,4
