Course,Year,GPA
CS 4610,2001.0,4.0
CS 4611,2004.0,3.25
CS 4611,2005.0,2.73
CS 4612,2003.0,3.27
CS 4590,2007.0,3.45
CS 4590,2009.0,3.39
CS 4590,2010.0,3.67
CS 4590,2011.0,3.69
CS 4590,2012.0,3.6399999999999997
CS 4590,2013.0,3.06
CS 3251,1999.0,2.52
CS 3251,2000.0,2.86
CS 3251,2001.0,2.953333333333333
CS 3251,2002.0,2.925
CS 3251,2003.0,3.3
CS 3251,2004.0,3.2024999999999997
CS 3251,2005.0,2.9299999999999997
CS 3251,2006.0,3.0279999999999996
CS 3251,2007.0,2.783333333333333
CS 3251,2008.0,3.3033333333333332
CS 3251,2009.0,3.2725
CS 3251,2010.0,3.412
CS 3251,2011.0,3.376
CS 3251,2012.0,3.08
CS 3251,2013.0,3.73
CS 4616,2007.0,3.67
CS 4616,2008.0,3.25
CS 7465,2000.0,4.0
CS 7465,2002.0,4.0
CS 7465,2004.0,3.57
CS 2331,1999.0,2.5639999999999996
CS 2331,2000.0,2.4092857142857143
CS 2330,1999.0,2.37
CS 2330,2000.0,2.19
CS 6422,2012.0,3.63
CS 6422,2013.0,3.85
CS 2335,2000.0,2.67
CS 2335,2001.0,3.2228571428571433
CS 2335,2002.0,3.1257142857142854
CS 2335,2003.0,2.7588888888888885
CS 2335,2004.0,2.8266666666666667
CS 2335,2005.0,3.1500000000000004
CS 2335,2006.0,3.4583333333333335
CS 2335,2007.0,3.54
CS 2335,2008.0,3.55
CS 2335,2009.0,3.73
CS 2335,2010.0,3.83
CS 6550,1999.0,3.68
CS 6550,2000.0,3.66
CS 6550,2001.0,3.5
CS 6550,2002.0,3.74
CS 6550,2003.0,3.83
CS 6550,2005.0,3.96
CS 6550,2006.0,3.83
CS 6550,2007.0,3.71
CS 6550,2008.0,4.0
CS 6550,2009.0,3.77
CS 6550,2010.0,3.37
CS 6550,2012.0,3.89
CS 6550,2013.0,3.4
CSE 6643,2009.0,3.0700000000000003
CSE 6643,2010.0,3.725
CSE 6643,2011.0,3.655
CSE 6643,2012.0,3.6966666666666668
CSE 6643,2013.0,3.44
CS 4280,1999.0,3.73
CS 4280,2000.0,3.92
CS 4280,2001.0,3.81
CS 4280,2002.0,3.79
CS 4280,2003.0,3.86
CS 4280,2004.0,3.89
CS 4280,2006.0,3.73
CS 4280,2007.0,3.88
CS 6300,2000.0,3.88
CS 6300,2001.0,3.86
CS 6300,2002.0,3.5
CS 6300,2003.0,3.57
CS 6300,2004.0,3.59
CS 6300,2005.0,3.565
CS 6300,2006.0,3.21
CS 6300,2007.0,3.65
CS 6300,2008.0,3.3
CS 6300,2009.0,3.88
CS 6300,2010.0,3.7
CS 6300,2011.0,4.0
CS 6300,2012.0,3.435
CS 6150,2011.0,4.0
CS 6150,2012.0,3.94
CS 7785,2008.0,4.0
CS 7785,2009.0,4.0
CS 7785,2010.0,4.0
CS 7785,2011.0,4.0
CS 7785,2012.0,3.82
CS 6490,1999.0,3.69
CS 6490,2000.0,3.65
CS 6490,2001.0,3.73
CS 6491,2001.0,3.71
CS 6491,2002.0,3.48
CS 6491,2003.0,3.655
CS 6491,2004.0,3.78
CS 6491,2005.0,3.67
CS 6491,2006.0,3.69
CS 6491,2007.0,3.74
CS 6491,2008.0,3.9
CS 6491,2009.0,3.87
CS 6491,2010.0,3.67
CS 6491,2011.0,3.86
CS 6491,2012.0,3.93
CS 7540,2013.0,3.17
CS 6411,2000.0,3.57
CS 6411,2003.0,3.7
CS 4685,2010.0,4.0
CSE 6644,2008.0,3.875
CSE 6644,2009.0,3.2866666666666666
CSE 6644,2010.0,3.755
CSE 6644,2011.0,3.63
CSE 6644,2012.0,3.58
CSE 6644,2013.0,4.0
CS 1322,2001.0,2.5415555555555556
CS 1322,2002.0,2.5114634146341466
CS 1322,2003.0,2.5379999999999994
CS 1322,2004.0,2.484615384615385
CS 1322,2005.0,2.6104999999999996
CS 1322,2006.0,2.7935714285714286
CS 1321,2001.0,2.425212765957447
CS 1321,2002.0,2.4160759493670896
CS 1321,2003.0,2.5934374999999994
CS 1321,2004.0,2.923333333333334
CS 1321,2005.0,2.7433333333333336
CS 1321,2006.0,2.9933333333333336
CS 4440,2001.0,3.06
CS 4440,2002.0,3.41
CS 4440,2003.0,3.54
CS 4440,2004.0,3.43
CS 4440,2005.0,3.35
CS 4440,2006.0,3.41
CS 4440,2007.0,3.97
CS 4440,2008.0,3.57
CS 4440,2009.0,3.71
CS 4440,2010.0,3.84
CS 4440,2011.0,3.42
CS 4440,2012.0,3.88
CS 3790,2000.0,3.0
CS 3790,2001.0,3.33
CS 3790,2002.0,3.19
CS 3790,2003.0,3.425
CS 3790,2004.0,2.9
CS 3790,2005.0,3.175
CS 3790,2006.0,2.995
CS 3790,2007.0,3.06
CS 3790,2008.0,2.92
CS 3790,2009.0,3.375
CS 3790,2010.0,3.48
CS 3790,2011.0,2.89
CS 3790,2012.0,3.54
CS 3790,2013.0,3.53
CS 6390,2000.0,3.145
CS 6390,2001.0,3.78
CS 6390,2003.0,3.46
CS 6390,2005.0,3.56
CS 6390,2007.0,3.67
CS 6390,2009.0,3.41
CS 8751,2008.0,4.0
CS 8751,2009.0,4.0
CS 8751,2010.0,4.0
CS 8751,2011.0,3.89
CS 8751,2012.0,3.665
